timestamp,frequency_hz,magnitude_g,damage_index,estado
2026-05-14T00:56:21.561927,0.195,0.007785,0.0,0
2026-05-14T00:56:21.561927,0.391,0.001754,0.0,0
2026-05-14T00:56:21.561927,0.586,0.000457,0.0,0
2026-05-14T00:56:21.561927,0.781,0.000234,0.0,0
2026-05-14T00:56:21.561927,0.977,0.000158,0.0,0
2026-05-14T00:56:21.561927,1.172,0.000105,0.0,0
2026-05-14T00:56:21.561927,1.367,7.6e-05,0.0,0
2026-05-14T00:56:21.561927,1.562,8.8e-05,0.0,0
2026-05-14T00:56:21.561927,1.758,6.3e-05,0.0,0
2026-05-14T00:56:21.561927,1.953,8.5e-05,0.0,0
2026-05-14T00:56:21.561927,2.148,7.7e-05,0.0,0
2026-05-14T00:56:21.561927,2.344,7.6e-05,0.0,0
2026-05-14T00:56:21.561927,2.539,6.3e-05,0.0,0
2026-05-14T00:56:21.561927,2.734,7.4e-05,0.0,0
2026-05-14T00:56:21.561927,2.93,8.2e-05,0.0,0
2026-05-14T00:56:21.561927,3.125,0.000102,0.0,0
2026-05-14T00:56:21.561927,3.32,8.1e-05,0.0,0
2026-05-14T00:56:21.561927,3.516,7.9e-05,0.0,0
2026-05-14T00:56:21.561927,3.711,7.4e-05,0.0,0
2026-05-14T00:56:21.561927,3.906,7.9e-05,0.0,0
2026-05-14T00:56:21.561927,4.102,9.7e-05,0.0,0
2026-05-14T00:56:21.561927,4.297,6.5e-05,0.0,0
2026-05-14T00:56:21.561927,4.492,6.6e-05,0.0,0
2026-05-14T00:56:21.561927,4.688,6e-05,0.0,0
2026-05-14T00:56:21.561927,4.883,5.6e-05,0.0,0
2026-05-14T00:56:21.561927,5.078,6e-05,0.0,0
2026-05-14T00:56:21.561927,5.273,8e-05,0.0,0
2026-05-14T00:56:21.561927,5.469,9.8e-05,0.0,0
2026-05-14T00:56:21.561927,5.664,0.000107,0.0,0
2026-05-14T00:56:21.561927,5.859,0.000102,0.0,0
2026-05-14T00:56:21.561927,6.055,0.000115,0.0,0
2026-05-14T00:56:21.561927,6.25,0.000111,0.0,0
2026-05-14T00:56:21.561927,6.445,0.000111,0.0,0
2026-05-14T00:56:21.561927,6.641,0.000136,0.0,0
2026-05-14T00:56:21.561927,6.836,0.000128,0.0,0
2026-05-14T00:56:21.561927,7.031,0.000105,0.0,0
2026-05-14T00:56:21.561927,7.227,0.000119,0.0,0
2026-05-14T00:56:21.561927,7.422,9e-05,0.0,0
2026-05-14T00:56:21.561927,7.617,9.5e-05,0.0,0
2026-05-14T00:56:21.561927,7.812,0.000137,0.0,0
2026-05-14T00:56:21.561927,8.008,0.000101,0.0,0
2026-05-14T00:56:21.561927,8.203,0.000101,0.0,0
2026-05-14T00:56:21.561927,8.398,6.7e-05,0.0,0
2026-05-14T00:56:21.561927,8.594,0.000118,0.0,0
2026-05-14T00:56:21.561927,8.789,0.000105,0.0,0
2026-05-14T00:56:21.561927,8.984,8.5e-05,0.0,0
2026-05-14T00:56:21.561927,9.18,0.0001,0.0,0
2026-05-14T00:56:21.561927,9.375,0.000123,0.0,0
2026-05-14T00:56:21.561927,9.57,0.000101,0.0,0
2026-05-14T00:56:21.561927,9.766,8.2e-05,0.0,0
2026-05-14T00:56:21.561927,9.961,8.8e-05,0.0,0
2026-05-14T00:56:21.561927,10.156,0.000102,0.0,0
2026-05-14T00:56:21.561927,10.352,8.8e-05,0.0,0
2026-05-14T00:56:21.561927,10.547,7.9e-05,0.0,0
2026-05-14T00:56:21.561927,10.742,9.3e-05,0.0,0
2026-05-14T00:56:21.561927,10.938,9e-05,0.0,0
2026-05-14T00:56:21.561927,11.133,8.2e-05,0.0,0
2026-05-14T00:56:21.561927,11.328,7.4e-05,0.0,0
2026-05-14T00:56:21.561927,11.523,0.000118,0.0,0
2026-05-14T00:56:21.561927,11.719,0.000133,0.0,0
2026-05-14T00:56:21.561927,11.914,0.000116,0.0,0
2026-05-14T00:56:21.561927,12.109,8.4e-05,0.0,0
2026-05-14T00:56:21.561927,12.305,0.000136,0.0,0
2026-05-14T00:56:21.561927,12.5,0.000131,0.0,0
2026-05-14T00:56:21.561927,12.695,0.000104,0.0,0
2026-05-14T00:56:21.561927,12.891,0.000112,0.0,0
2026-05-14T00:56:21.561927,13.086,0.000104,0.0,0
2026-05-14T00:56:21.561927,13.281,7.7e-05,0.0,0
